codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
80547;A-022/CENIPA/2022 - 01;2023-08-15;2023-09-11;2023-11-24;Atuar junto a Classic Escola de Aviaaao Civil Ltda., no sentido de que aquela organizaaao demonstre que os seus processos de gerenciamento de risco estao efetivamente implantados e garantem naveis adequados de seguranaa operacional.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80512;A-014/CENIPA/2022 - 01;2023-05-31;2023-06-01;2023-11-16;Atuar junto a Aero Agracola Itaquerense Ltda., a fim de alertar aquele operador sobre a importancia da correta confecaao e da criteriosa observancia do formulario de Gerenciamento dos Riscos a Seguranaa Operacional (GRSO), sobretudo no que diz respeito a identificaaao de perigos e mitigaaao dos riscos envolvidos nas operaaaes em areas de pouso para uso aeroagracola.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80490;A-012/CENIPA/2022 - 01;2023-03-23;2023-04-10;2023-08-09;Atuar junto a Pachu Aviaaao Agracola Ltda., no sentido de avaliar a maturidade do seu Sistema de Seguranaa Operacional (SGSO), a fim de que os eventuais gerenciamentos de risco a serem feitos pelos pilotos, durante as operaaaes aeroagracolas, produzam os resultados esperados.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80475;A-005/CENIPA/2022 - 01;2023-11-22;2023-11-27;NULL;"Divulgar os ensinamentos colhidos nesta investigaaao aos operadores/mantenedores dasaeronaves modelos AT-300/301/302/400A/401 equipadas com trem de pouso principal40007-3; AT-501/502/503A equipadas com trem de pouso principal 40086-1; e AT- 300/301/302/400A/401/402/402A equipadas com trem de pouso principal 40058-2, buscando alerta-los sobre a necessidade do adequado cumprimento do programa de manutenaao da aeronave, particularmente, quanto ao Tempo Limite de Vida (TLV) das molas do trem de pouso principal, em consonancia com os parametros estabelecidos pelaService Letter na 104 (SL #104) da Air Tractor.";AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80468;I-149/CENIPA/2021 - 01;2023-03-23;2023-04-10;2023-08-10;Atuar sobre o operador aeroportuario de SBSV, a fim de que seja refeito o estudo sobre as capacidades nos procedimentos de pushback e taxi do aeradromo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80468;I-149/CENIPA/2021 - 02;2023-03-23;2023-04-10;2023-05-25;Realizar treinamento com os operadores da TWR-SV, enfatizando a importancia da utilizaaao das cameras de vigilancia e da necessidade da informaaao de trafegos essenciais locais, possibilitando a correta utilizaaao da carta PDC 1 de SBSV, diante de taxis simultaneos de aeronaves com diversas categorias de envergadura.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
80468;I-149/CENIPA/2021 - 03;2023-03-23;2023-04-10;2023-05-25;Analisar, em coordenaaao com o operador aeroportuario de SBSV, a necessidade de modificar o Modelo Operacional da TWR-SV, revisando as informaaaes sobre utilizaaao da taxiway J3, J2 e J4 pelas aeronaves categoria C ou superiores.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
80445;A-145/CENIPA/2021 - 01;2023-12-29;2024-01-10;NULL;Atuar junto a SOMA - Serviaos Oficina e Manutenaao Aeronautica Ltda. (COM na 9809-01/ANAC), no sentido de que aquela organizaaao demonstre que os processos relacionados a supervisao gerencial das atividades de planejamento, execuaao e controle,estao devidamente implantados e garantam a qualidade dos serviaos executados.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80444;A-147/CENIPA/2021 - 01;2023-11-01;2023-11-01;NULL;Divulgar os ensinamentos colhidos nesta investigaaao a Aero Agracola Vargas Ltda., a fimde que aquela Empresa possa realizar aaaes de promoaao da seguranaa operacional,objetivando assegurar que os perigos associados as suas operaaaes sejam identificados eas mitigaaaes propostas sejam suficientes para a garantia da seguranaa operacional.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80380;A-127/CENIPA/2021 - 01;2023-09-22;2023-10-09;NULL;Atuar junto ao Centro de Instruaao de Aviaaao Civil (CIAC) do Aeroclube de Sao Paulo, no sentido de garantir a adequaaao de seu Programa de Instruaao do Curso Pratico de Piloto Privado de Aviao (PPA), notadamente no que se refere ao planejamento dos exercacios previstos para as missaes consideradas como avoo soloa.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80380;A-127/CENIPA/2021 - 03;2023-09-22;2023-10-09;NULL;Divulgar os ensinamentos colhidos nesta investigaaao ao Centro de Instruaao de AviaaaoCivil (CIAC) do Aeroclube de Sao Paulo, a fim de que os instrutores e alunos daquele CIAC reconheaam desvios e atuem no sentido de descontinuar aproximaaaes nao estabilizadas.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80369;A-121/CENIPA/2021 - 01;2023-05-15;2023-05-16;2023-05-19;Divulgar os ensinamentos colhidos nesta investigaaao as empresas que operam segundo os requisitos estabelecidos no RBAC 135, a fim de promover o incremento da cultura de Seguranaa Operacional e o gerenciamento do risco.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80369;A-121/CENIPA/2021 - 02;2023-05-15;2023-05-16;2023-09-12;Realizar gestaes junto ao DECEA, no sentido harmonizar os requisitos do RBAC 154, naquilo que diz respeito a instalaaao de auxalios a navegaaao, com os requisitos da ICA 63-18.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80369;A-121/CENIPA/2021 - 03;2023-05-15;2023-05-16;2023-08-09;Realizar gestaes junto a ANAC, no sentido harmonizar os requisitos da ICA 63-18, naquilo que diz respeito a instalaaao de auxalios a navegaaao, com os requisitos do RBAC 154.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
80369;A-121/CENIPA/2021 - 04;2023-05-15;2023-05-16;2023-08-09;Realizar gestaes junto a Companhia Energatica de Minas Gerais S.A. (CEMIG), de modo a sinalizar, em carater excepcional, a linha de transmissao de 69 kV no trecho correspondente ao prolongamento da pista 02 de SNCT.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
80369;A-121/CENIPA/2021 - 05;2023-05-15;2023-05-16;2023-06-21;Avaliar, em coordenaaao com o DECEA, o estabelecimento de requisitos de sinalizaaao de redes de transmissao e de distribuiaao nos arredores de aeradromos, notadamente daqueles situados em regiaes com relevo acidentado, com vistas a prevenaao de acidentes aeronauticos.;AGUARDANDO RESPOSTA;ANEEL;AGaNCIA NACIONAL DE ENERGIA ELaTRICA
80367;A-122/CENIPA/2021 - 01;2023-04-17;2023-04-25;2023-07-24;Atuar junto a Cabaaa Aviaaao Agracola a fim de que o processo relativo ao GRSO previsto no MGSO dessa empresa seja revisado, de modo a, previamente, mitigar os riscos da operaaao, com atenaao as possaveis variaaaes no comprimento das areas de pouso para uso aeroagracola e uso inadequado dos flapes.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80361;A-123/CENIPA/2021 - 01;2023-05-31;2023-05-31;2023-09-15;Reforaar a atuaaao junto a Pachu Aviaaao Agracola Ltda., no sentido de identificar se aquele operador a capaz de demonstrar que os seus processos de supervisao gerencial asseguram o adequado levantamento dos riscos e ameaaas relacionadas as operaaaes conduzidas, avaliando o navel de maturidade do Sistema de Gerenciamento da Seguranaa Operacional dessa empresa aarea.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80349;A-117/CENIPA/2021 - 01;2023-04-17;2023-04-25;2023-12-27;Atuar junto ao Centro de Instruaao de Aviaaao Civil (CIAC) do Aeroclube de Fernandapolis, a fim de verificar o cumprimento, por parte daquele operador, das medidas previstas em seu Manual de Gerenciamento de Seguranaa Operacional (MGSO), em especial, aquelas relativas a identificaaao, avaliaaao e mitigaaao dos riscos afetos a operaaao em aeradromos privados.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80328;A-113/CENIPA/2021 - 01;2023-09-22;2023-10-09;NULL;Atuar junto a Aerobras Aviaaao Peaas e Serviaos Ltda., Certificado de Organizaaao de Manutenaao (COM) na 0810-61/ANAC, no sentido de que aquela OM demonstre que os seus processos de execuaao e supervisao gerencial garantem a qualidade da execuaao e da supervisao tacnica dos serviaos realizados nos motores que ela mantam.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80328;A-113/CENIPA/2021 - 02;2023-09-22;2023-10-09;NULL;Atuar junto a Ramos Manutenaao Aeronautica Ltda., Certificado de Organizaaao de Manutenaao (COM) na 0909-61/ANAC, a fim de que aquela OM demonstre que os seus processos de execuaao e supervisao gerencial garantem a qualidade da execuaao e da supervisao tacnica dos serviaos realizados nas aeronaves que ela mantam.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80314;A-110/CENIPA/2021 - 01;2023-12-29;2024-01-03;NULL;Atuar junto a Brasil Vida Taxi Aareo Ltda., a fim de verificar se o operador da aeronave atende as instruaaes e procedimentos estabelecidos na Instruaao Suplementar (IS) Na 135-005 que versa sobre aOperaaao Aeromadica Realizada por Operadores Aareos Regidos pelo RBAC na 135a, em especial as instruaaes especaficas sobre peso e balanceamento descritas na referida IS.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80314;A-110/CENIPA/2021 - 02;2023-12-29;2024-01-03;NULL;Atuar junto a Brasil Vida Taxi Aareo Ltda. para que esta atualize o layout do manifesto de carga, inserindo o campo de PMD ORIGEM, especificando qual o fator limitante de decolagem.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80311;A-111/CENIPA/2021 - 01;2023-09-22;2023-10-09;NULL;Atuar junto ao CBMRO, a fim de certificar-se que o operador aprovou, implementou e estamantendo continuamente adequada a sua realidade, toda documentaaao necessaria paraoperar com seguranaa, desde sua estrutura organizacional, treinamento ata os manuaisoperacionais, de acordo com o que preva a regulamentaaao em vigor.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80310;A-109/CENIPA/2021 - 01;2023-04-17;2023-04-25;2023-11-28;Atuar junto ao Centro de Instruaao de Aviaaao Civil do Aeroclube de Ponta Grossa, a fim de certificar-se que aquele operador adequou seu processo de instruaao de voo ao previsto na IS Na141-007 B - aPrograma de Instruaao e Manual de Instruaaes e Procedimentosa, sobretudo no que diz respeito a utilizaaao de fichas de avaliaaao que apresentem todos os campos necessarios ao adequado registro do voo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80302;IG -107/CENIPA/2021 - 02;2023-03-23;2023-04-10;2023-07-20;Atuar junto a Piquiatuba Taxi Aareo Ltda., a fim de que aquela organizaaao de manutenaao demonstre que as aaaes corretivas executadas sejam adequadamente realizadas, em consonancia com o que preconizam os RBAC 135 e 43.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80302;IG-107/CENIPA/2021 - 01;2023-03-23;2023-04-10;2023-08-09;Atuar junto a Piquiatuba Taxi Aareo Ltda., no sentido de que aquela empresa aarea demonstre que os pilotos de suas aeronaves foram adequadamente orientados a registrar no diario de bordo cada irregularidade observada antes, durante e apas os voos realizados, em consonancia com o que preconiza o RBAC 135.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80301;A-105/CENIPA/2021 - 01;2023-11-01;2023-11-01;2024-01-04;Atuar junto a Voare Taxi Aareo Ltda. (COM Na 1506-61/ANAC), no sentido de que aqueleoperador demonstre que seus mecanismos de Controle Tacnico de Manutenaao (CTM)estao adequadamente implantados e funcionando, mormente no que se refere as atividadesrelacionadas ao controle de utilizaaao das aeronaves e equipamentos por ele operadas.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80298;A-106/CENIPA/2021 - 01;2023-08-15;2023-09-11;2023-10-18;Divulgar os ensinamentos colhidos nesta investigaaao a EJ - Escola de Aviaaao Ltda. ME, a fim de que aquele Centro de Instruaao de Aviaaao Civil (CIAC) estude a possibilidade de incluir, em seus materiais de instruaao e de promoaao da seguranaa operacional, os conhecimentos relacionados ao risco de porpoising durante a execuaao de pousos.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80285;A-102/CENIPA/2021 - 01;2023-09-22;2023-10-09;NULL;Atuar, junto a Tiarte Comarcio e Manutenaao de Aeronaves Ltda., no sentido de verificarse os procedimentos relativos a supervisao gerencial da OM atendem a legislaaaoaplicavel, a fim de mitigar recorrancias de nao conformidades similares as identificadasnesta investigaaao.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80273;A-100/CENIPA/2021 - 01;2023-09-22;2023-10-09;2023-11-24;Divulgar os ensinamentos colhidos nesta investigaaao ao CIAC do Aeroclube de Biritiba Mirim, a fim de que aquele Centro possa utiliza-los nos seus eventos internos de promoaao da seguranaa operacional.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80272;A-099/CENIPA/2021 - 01;2023-04-17;2023-04-25;2023-09-11;Reforaar a atuaaao junto a VOARE Taxi-Aareo Ltda., a fim de que aquela organizaaao aperfeiaoe seus mecanismos de supervisao gerencial e gerenciamento de risco, visando incrementar os naveis de seguranaa operacional requeridos para o desempenho das atividades para as quais a certificada.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80272;A-099/CENIPA/2021 - 02;2023-04-17;2023-04-25;2023-12-14;Avaliar a necessidade de emissao de Diretriz de Aeronavegabilidade para a aplicaaao do Service Bulletin SEB07-5 - Secondary Seat Stop nas aeronaves Cessna Aircraft modelo U206F.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80258;A-137/CENIPA/2019 - 01;2021-11-16;2021-12-23;2022-01-26;Atuar junto ao operador do Aeradromo de Tangara da Serra (SWTS), MT, para que este faaa gestaes no sentido de assegurar o isolamento da area operacional, com cercas e sistemas de proteaao, em conformidade com os dispositivos previstos na Subparte H, Gerenciamento do Risco da Fauna, do RBAC na 153.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80252;A-094/CENIPA/2021 - 01;2022-09-21;2022-09-27;2022-12-26;Atuar junto ao proprietario da area nao cadastrada conhecida como Clube de Aviaaao Desportiva de Roraima (CADTRR) no sentido de que seja feito o registro do aeradromo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80238;IG-098/CENIPA/2021 - 01;2023-04-17;2023-04-25;2023-07-04;Divulgar os ensinamentos desta investigaaao ao Centro de Instruaao de Aviaaao Civil (CIAC) do Aeroclube de Votuporanga, a fim de que seja enfatizado aos instrutores que atuam naquela escola a importancia do fiel cumprimento dos procedimentos operacionais estabelecidos, sobretudo no que diz respeito a leitura e execuaao da lista de verificaaaes (checklist).;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80227;A-077/CENIPA/2021 - 01;2023-04-26;2023-04-28;NULL;Reforaar os mecanismos de supervisao junto a empresa CEAL Aviaaao Agracola Ltda., avaliando o navel de maturidade do seu Sistema de Gerenciamento da Seguranaa Operacional (SMS), visando incrementar os naveis de competancia e seguranaa operacional requeridos para o desempenho das atividades para as quais tal empresa a certificada.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80221;IG-091/CENIPA/2021 - 01;2023-04-17;2023-04-25;2023-08-09;Divulgar os ensinamentos colhidos nesta investigaaao a empresa Lader Taxi Aareo S.A. Air Brasil, a fim de que os mesmos possam ser utilizados na promoaao da seguranaa operacional no ambito do SGSO daquela empresa.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80221;IG-091/CENIPA/2021 - 02;2023-04-17;2023-04-25;NULL;Divulgar os ensinamentos colhidos nesta investigaaao ao operador do Aeradromo de Barra Grande (SIRI), no intuito de que o operador se conscientize da importancia da adequabilidade das caracterasticas fasicas daquele aeradromo, notadamente, das condiaaes de aderancia da pista e quanto a correaao dos defeitos do pavimento.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80176;A-089/CENIPA/2021 - 01;2022-12-05;2022-12-19;2023-04-02;Atuar junto ao CIAC do Aeroclube de Bebedouro, a fim de garantir que os processos de instruaao sejam aprimorados, visando ao adequado acompanhamento do desempenho dos alunos pilotos e o processo de avaliaaao realizado pelos instrutores, abrangendo, tambam, as decisaes por eles emitidas por meio das fichas de instruaao.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80176;A-089/CENIPA/2021 - 02;2022-12-05;2022-12-19;2023-04-02;Atuar junto ao CIAC do Aeroclube de Bebedouro, com o objetivo de garantir que a observancia do cumprimento dos requisitos estabelecidos nos regulamentos em vigor seja reforaada.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80168;A-087/CENIPA/2021 - 01;2023-12-29;2024-01-10;NULL;Atuar junto a Organizaaao de Manutenaao do Aeroclube de Braganaa Paulista, a fimassegurar o adequado cumprimento dos procedimentos de manutenaao e revisao geral dosmotores Continental, bem como dos componentes a ele relacionados, notadamente no quese refere a substituiaao de componentes prevista nos manuais e boletins de serviao relacionados.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80168;A-087/CENIPA/2021 - 02;2023-12-29;2024-01-10;NULL;Atuar junto a Organizaaao de Manutenaao do Aeroclube de Braganaa Paulista no sentidode garantir que a execuaao e a supervisao dos trabalhos de manutenaao por ela realizadosestejam adequadas e sejam suficientes para o atendimento aos requisitos de aeronavegabilidade das aeronaves sob sua responsabilidade.;AGUARDANDO RESPOSTA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80156;A-084/CENIPA/2021 - 01;2022-12-04;2022-12-19;2023-10-10;Atuar junto ao Aeroclube de Campinas, a fim de certificar-se de que os instrutores de voo atingiram as competancias preconizadas no item 7.5 da IS 141-007A, de 15JUL2020, que estabeleceu os Programas de Instruaaes e Procedimentos e Manual de Instruaaes e Procedimentos, em especial o Gerenciamento de Erros e Ameaaas (TEM) e o Gerenciamento de Recursos de Cabine (CRM) na instruaao de voo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80079;A-065/CENIPA/2021 - 01;2022-11-02;2022-11-21;2023-07-18;Atuar junto a Looping Escola de Aviaaao Leve Ltda., a fim de que aquele operador aprimore seu Manual de Gestao da Seguranaa Operacional bem como seu Programa de Instruaao, especialmente no tocante a padronizaaao de procedimentos normais e de emergancia e gerenciamento do risco.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80079;A-065/CENIPA/2021 - 02;2022-11-02;2022-11-21;2023-04-02;Atuar junto a Trike acaros Indastria Aeronautica Ltda., no intuito de que aquele fabricante forneaa instruaaes, referentes a limpeza e conservaaao, mais robustas de forma a assegurar que partes sensaveis a presenaa de agua e umidade nao sejam afetadas, tais como a chave de corte de igniaao de emergancia do instrutor.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80079;A-065/CENIPA/2021 - 03;2022-11-02;2022-11-21;2023-04-17;Avaliar a viabilidade de revisao do NOTAM de SDTB, a fim de que haja uma adequada padronizaaao para a realizaaao dos circuitos de trafego e operaaao de Aeronaves Leves Esportivas Especiais naquele aeradromo, levando em consideraaao as especificidades dele, da ATZ-ATIBAIA e a presenaa de areas densamente povoadas ao seu redor, considerando o preconizado pelas Regras do Ar em vigor, de forma que sejam elevados os naveis da seguranaa de voo das operaaaes naquela localidade.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAaO AaREO
80075;A-062/CENIPA/2021 - 01;2023-03-23;2023-04-10;2023-09-15;Divulgar a Helisul Taxi Aareo Ltda. os ensinamentos colhidos nesta investigaaao, a fim de que aquele operador, em coordenaaao com a empresa Furnas Centrais Elatricas, busque atualizar o Manual Tacnico de Campo para aInspeaao Aarea de Linhas de Transmissao Utilizando Helicapterosa, sobretudo no que diz respeito a utilizaaao de tecnologias que possam contribuir para a seguranaa operacional, e tambam realize atividades internas de promoaao de seguranaa operacional, utilizando a publicaaao aTacnicas para Operaaaes de Helicaptero em Terrenos angremes e Montanhososa, do EHST.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80073;A-063/CENIPA/2021 - 01;2021-11-12;2021-11-19;2021-12-02;Divulgar os ensinamentos colhidos nesta investigaaao aos operadores de aeronaves experimentais, modelos RV-10 e RV-10A, alertando-os para a necessidade de se dispensar especial atenaao para o estado geral das cablagens do atuador dos compensadores, por ocasiao da realizaaao dos procedimentos de manutenaao preventiva, visando identificar condiaaes indesejaveis que possam concorrer para um contato acidental dos cabos condutores com a estrutura do manche, resultando no acionamento involuntario do rela do trim.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80073;A-063/CENIPA/2021 - 02;2021-11-12;2021-11-19;2021-12-02;Divulgar os ensinamentos colhidos nesta investigaaao aos operadores de aeronaves experimentais, modelos RV-10 e RV-10A, afetadas pelo Boletim de Serviao, SB-001/17-Flyer, alertando-os para o fiel cumprimento do referido boletim.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80064;A-061/CENIPA/2021 - 01;2023-04-17;2023-04-25;2023-07-17;Divulgar os ensinamentos colhidos na presente investigaaao aos Centros de Instruaao de Aviaaao Civil (CIAC) que ministram cursos de helicaptero, a fim de que essas organizaaaes possam incluir em seus materiais de instruaao/promoaao da seguranaa operacional os conhecimentos relacionados ao risco de rolamento dinamico associados a execuaao de pousos e decolagens em terreno inclinado.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80037;A-056/CENIPA/2021 - 01;2023-05-31;2023-05-31;2023-12-11;Atuar junto ao Centro de Instruaao de Aviaaao Civil do Aeroclube de Maringa no sentido de garantir a adequabilidade dos manuais utilizados para a padronizaaao dos procedimentos de instruaao, notadamente no que se refere aos procedimentos normais e de emergancias, e o conceito de cockpit estaril em fases craticas do voo.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
80037;A-056/CENIPA/2021 - 02;2023-05-31;2023-05-31;2023-09-11;Atuar junto a Organizaaao de Manutenaao Vava Manutenaao de Aeronaves, a fim de assegurar a adequada manutenaao de registros relacionados a rastreabilidade de componentes aeronauticos adquiridos e utilizados para a manutenaao de aeronaves.;ADOTADA;ANAC;AGaNCIA NACIONAL DE AVIAaaO CIVIL
