codigo_ocorrencia3;fator_nome;fator_aspecto;fator_condicionante;fator_area
80672;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80672;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80672;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80647;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80610;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80610;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80610;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80610;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80610;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80610;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80610;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80610;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80592;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80592;CULTURA DO GRUPO DE TRABALHO;ASPECTO PSICOLOGICO;PSICOSSOCIAL;FATOR HUMANO
80592;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80592;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80592;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80592;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80592;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80581;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80581;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80581;CAPACITACAO E TREINAMENTO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
80581;CULTURA DO GRUPO DE TRABALHO;ASPECTO PSICOLOGICO;PSICOSSOCIAL;FATOR HUMANO
80581;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80581;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80581;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80553;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80553;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80553;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80547;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80547;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80547;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80547;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80536;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80536;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80536;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80536;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80520;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80520;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80520;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80516;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80512;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80512;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80512;PESSOAL DE APOIO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80512;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80512;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80505;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80505;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80505;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80505;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80491;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80491;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80491;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80491;MOTIVACAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80491;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80491;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80490;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80490;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80490;CARACTERISTICAS DA TAREFA;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
80490;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80490;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80490;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80490;PLANEJAMENTO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80490;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
80490;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80481;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80481;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80475;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80475;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80472;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80472;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80472;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80472;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80472;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80472;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80472;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80468;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80468;PLANEJAMENTO DE TRAFEGO (ATS);DESEMPENHO DO SER HUMANO;PRESTACAO DE SERVICOS DE TRAFEGO AEREO;FATOR OPERACIONAL
80468;PUBLICACOES (ATS);INFRAESTRUTURA DE TRAFEGO AEREO;***;FATOR OPERACIONAL
80458;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80458;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80458;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80450;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80446;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80446;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
80446;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80446;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80446;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80445;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80445;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80444;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80441;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80441;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80441;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80441;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80428;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80428;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80428;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80428;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80426;MANUTENCAO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENCAO DA AERONAVE;FATOR OPERACIONAL
80426;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
80423;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80423;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80423;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80415;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80415;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80415;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80415;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80393;CONDICOES METEOROLOGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
80393;INFRAESTRUTURA AEROPORTUARIA;INFRAESTRUTURA AEROPORTUARIA;***;FATOR OPERACIONAL
80393;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80393;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80390;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80390;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80390;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80390;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80383;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80383;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80383;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80383;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80380;COORDENACAO DE CABINE;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80380;INFRAESTRUTURA AEROPORTUARIA;INFRAESTRUTURA AEROPORTUARIA;***;FATOR OPERACIONAL
80380;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80380;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80380;PERCEPCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80380;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80380;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80380;SUPERVISAO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80369;ATENCAO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80369;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80369;MEMORIA;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80369;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80368;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80368;ATITUDE;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80368;INTRUCAO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80368;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80368;POUCA EXPERIENCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80368;PROCESSO DECISORIO;ASPECTO PSICOLOGICO;INDIVIDUAL;FATOR HUMANO
80367;APLICACAO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80367;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80367;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERACAO DA AERONAVE;FATOR OPERACIONAL
80367;SISTEMAS DE APOIO;ASPECTO PSICOLOGICO;ORGANIZACIONAL;FATOR HUMANO
